Episodio,Recursos_Restantes,Emergencias_Activas,Accion_Agente1,Accion_Agente2,Accion_Agente3,Recompensa_Global,Intervenciones_Logicas
20,50,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
21,50,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
22,50,1,0,0,0,-30,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
23,40,0,1,1,1,0,Ag1: Ninguna (Decisión Neuronal pura) | Ag2: Ninguna (Decisión Neuronal pura) | Ag3: Ninguna (Decisión Neuronal pura)
24,40,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
25,40,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
26,40,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
27,40,1,2,2,2,-3,Ag1: R3: Recursos críticos. Forzando colaboración. | Ag2: R3: Recursos críticos. Forzando colaboración. | Ag3: R3: Recursos críticos. Forzando colaboración.
28,20,0,1,1,1,15,Ag1: Ninguna (Decisión Neuronal pura) | Ag2: Ninguna (Decisión Neuronal pura) | Ag3: Ninguna (Decisión Neuronal pura)
29,20,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
30,20,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
31,20,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
32,20,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
33,20,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
34,20,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
35,20,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
36,20,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
37,20,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
38,20,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
39,20,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
40,20,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
41,20,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
42,20,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
43,20,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
44,20,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
45,20,1,0,0,0,-30,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
46,10,0,2,1,2,8,Ag1: Ninguna (Decisión Neuronal pura) | Ag2: Ninguna (Decisión Neuronal pura) | Ag3: R8: Nodo menor restringido por escasez.
47,10,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
48,10,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
49,10,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
50,10,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
51,10,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
52,10,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
53,10,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
54,10,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
55,10,1,0,0,0,-30,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
56,10,1,2,2,2,-3,Ag1: R3: Recursos críticos. Forzando colaboración. | Ag2: R3: Recursos críticos. Forzando colaboración. | Ag3: R3: Recursos críticos. Forzando colaboración.
57,10,1,2,2,2,-3,Ag1: R3: Recursos críticos. Forzando colaboración. | Ag2: R3: Recursos críticos. Forzando colaboración. | Ag3: R3: Recursos críticos. Forzando colaboración.
58,10,1,2,2,2,-3,Ag1: R3: Recursos críticos. Forzando colaboración. | Ag2: R3: Recursos críticos. Forzando colaboración. | Ag3: R3: Recursos críticos. Forzando colaboración.
59,10,1,2,2,2,-3,Ag1: R3: Recursos críticos. Forzando colaboración. | Ag2: R3: Recursos críticos. Forzando colaboración. | Ag3: R3: Recursos críticos. Forzando colaboración.
60,10,2,2,2,2,-3,Ag1: R3: Recursos críticos. Forzando colaboración. | Ag2: R3: Recursos críticos. Forzando colaboración. | Ag3: R3: Recursos críticos. Forzando colaboración.
1,100,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
2,100,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
3,100,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
4,100,1,0,0,0,-30,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
5,80,0,1,1,1,15,Ag1: Ninguna (Decisión Neuronal pura) | Ag2: Ninguna (Decisión Neuronal pura) | Ag3: Ninguna (Decisión Neuronal pura)
6,80,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
7,80,1,0,0,0,-30,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
8,70,0,1,1,1,0,Ag1: Ninguna (Decisión Neuronal pura) | Ag2: Ninguna (Decisión Neuronal pura) | Ag3: Ninguna (Decisión Neuronal pura)
9,70,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
10,70,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
11,70,1,0,0,0,-30,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
12,60,0,1,1,1,0,Ag1: Ninguna (Decisión Neuronal pura) | Ag2: Ninguna (Decisión Neuronal pura) | Ag3: Ninguna (Decisión Neuronal pura)
13,60,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
14,60,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
15,60,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
16,60,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
17,60,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
18,60,1,0,0,0,-30,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
19,50,0,1,1,1,0,Ag1: Ninguna (Decisión Neuronal pura) | Ag2: Ninguna (Decisión Neuronal pura) | Ag3: Ninguna (Decisión Neuronal pura)
20,50,0,0,0,0,-3,Ag1: R1: Sin crisis. Despliegue vetado. | Ag2: R1: Sin crisis. Despliegue vetado. | Ag3: R1: Sin crisis. Despliegue vetado.
